,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
0,9/3 Brigid Road,"$505,000",Aug 2021,$450pw,May 2019,Apartment,1,1,1,"3,437",75,Carl McNeill
1,36/2 Wexford Street,"$410,000",Aug 2021,$400pw,May 2021,,,,,158,65,Sean Roberts
2,244 Heytesbury Road,"$1,710,000",Aug 2021,,,House,,,,,,Kirk Bellerby
3,54/1 Station Street,"$575,000",Aug 2021,$770pw,Dec 2014,Apartment,2,2,2,166,110,Cameron McGregor
4,59 Heytesbury Road,"$1,800,000",Jul 2021,,,House,3,2,,354,144,
5,13/172 Bagot Road,"$406,000",Jul 2021,,,Apartment,2,1,1,"1,467",,Samantha Payne
6,407/18 Atkinson Road,"$325,000",Jul 2021,,,Apartment,1,1,1,,,Brad Raynor
7,59/1 Station Street,"$545,000",Jul 2021,,,Apartment,2,1,1,"7,942",110,
8,1/210 Bagot Road,"$550,000",Jul 2021,"$24,950pw",Apr 2016,Apartment,2,2,1,703,,Michelle Ralph
9,14 Hamilton Street,"$810,000",Jul 2021,,,Townhouse,3,2,3,370,120,Mark Merenda
10,14 Mere View Way,"$1,285,000",Jul 2021,$850pw,Aug 2018,House,3,2,2,200,,Andy Thorpe
11,1/3 Brigid Road,"$535,000",Jul 2021,$500pw,Jan 2020,Apartment,2,2,1,103,99,Belinda Airey
12,170 Townshend Road,"$1,680,000",Jul 2021,,,House,3,2,,447,,Suzy Costanzo
13,89 Gloster Street,"$1,850,000",Jul 2021,$590pw,Feb 2020,House,4,1,4,521,,Suzy Costanzo
14,25 Sadlier Street,"$1,150,000",Jul 2021,,,House,3,1,1,,,Suzy Costanzo
15,42/2 Wexford Street,"$620,000",Jul 2021,$525pw,Feb 2018,,,,,143,50,
16,17/1 Brigid Road,"$650,000",Jul 2021,$530pw,Oct 2018,Apartment,2,2,2,141,87,Graham Joyce
17,3/2A Campbell Street,"$678,000",Jul 2021,$560pw,Jul 2021,Apartment,2,1,1,706,,Andy Thorpe
18,1 Trillo Road,"$1,900,000",Jul 2021,"$1,500pw",May 2021,House,4,2,2,300,285,George Allen
19,110/30 Hood Street,"$560,000",Jul 2021,,,Apartment,,,,75,,Jayson Watson
20,4/35 Rupert Street,"$400,000",Jun 2021,$380pw,Jun 2019,Apartment,2,1,1,"1,214",,Belinda Airey
21,26 Rossello Lane,"$2,200,000",Jun 2021,,,House,4,,,185,,
22,6 Gloster Street,"$1,940,000",Jun 2021,$850pw,Mar 2015,House,3,2,2,492,,Suzy Costanzo
23,2/188 Churchill Avenue,"$888,000",Jun 2021,,,,,,,165,120,
24,35/1 Sheen Street,"$600,000",Jun 2021,$575pw,Dec 2016,Apartment,2,2,2,133,87,Michelle Ralph
25,102/15 Roydhouse Street,"$390,000",Jun 2021,$410pw,Nov 2018,Apartment,1,1,1,,,Emily Garden
26,304 Bagot Road,"$1,005,000",Jun 2021,$600pw,Apr 2021,House,3,1,2,241,,
27,2/1 Brigid Road,"$515,000",Jun 2021,$600pw,Jun 2014,,,,,137,76,
28,1 Old Jacaranda Way,"$1,700,000",Jun 2021,"$2,000pw",Feb 2011,House,5,3,2,470,334,Michael Hoad
29,45/2 Wexford Street,"$630,000",Jun 2021,$495pw,Feb 2020,,,,,152,65,Clare Nation
30,39 Bagot Road,"$1,480,000",Jun 2021,,,House,3,1,3,353,161,Kym and Shane Vasile
31,8 Tallow Tree Crescent,"$1,100,000",May 2021,$720pw,Jan 2016,Townhouse,3,2,2,892,,Paula Banwell
32,65D Hay Street,"$615,000",May 2021,$550pw,Feb 2019,Apartment,2,2,1,752,173,Clare Nation
33,177 Park Street,"$1,250,000",May 2021,,,House,2,1,2,349,,Andrew Cooper
34,51/1 Station Street,"$380,000",May 2021,,,,,,,84,,Cameron McGregor
35,3/2 Agnew Way,"$575,000",May 2021,$570pw,Jun 2021,Apartment,2,2,1,141,111,Brendon Habak
36,87 Olive Street,"$1,330,000",May 2021,$820pw,Mar 2020,House,2,1,1,251,135,
37,175A Gloster Street,"$2,050,000",May 2021,,,House,3,2,2,,,Suzy Costanzo
38,107/18 Atkinson Road,"$410,000",May 2021,$450pw,Jul 2021,Apartment,,,,,,Josh Roberts
39,17/2 Wexford Street,"$595,000",May 2021,$500pw,May 2016,Apartment,2,2,2,162,,Samantha Payne
40,147 Roberts Road,"$1,200,000",May 2021,,,House,3,2,2,468,147,Emma Milner
41,42 Coolgardie Street,"$1,410,000",May 2021,$695pw,Jul 2017,House,3,1,3,374,122,Suzy Costanzo
42,153 Railway Road,"$945,000",May 2021,$700pw,Jun 2021,House,3,2,2,387,,Clare Nation
43,9/193 Park Street,"$447,000",May 2021,,,,,,,"1,053",,
44,91 Gloster Street,"$1,550,000",May 2021,$660pw,Aug 2015,House,4,2,2,"5,360",,Niki Peinke
45,9/4 Centro Avenue,"$535,000",May 2021,$485pw,Sep 2019,,,,,146,125,Anil Singh
46,1/291 Churchill Avenue,"$980,000",May 2021,,,Townhouse,3,3,2,101,116,Suzy Costanzo
47,13 Atkinson Road,"$1,625,000",May 2021,,,,,,,235,,
48,2 Price Street,"$1,180,000",May 2021,$850pw,Mar 2021,House,3,2,2,260,,
49,8/317 Churchill Avenue,"$740,000",May 2021,$600pw,Aug 2020,Apartment,2,2,2,185,132,Belinda Airey
50,408/18 Atkinson Road,"$324,000",May 2021,,,Apartment,1,1,1,,,Brad Raynor
51,3/183 Roberts Road,"$917,500",May 2021,$675pw,Dec 2008,Townhouse,2,3,2,"1,629",,Leanne O'Leary
52,27 Hay Street,"$795,000",May 2021,,,House,,,,,,
53,410/2 Wembley Court,"$330,000",Apr 2021,$380pw,Nov 2020,Apartment,1,1,1,54,,Paull Dickson
54,5 Browne Street,"$1,705,000",Apr 2021,,,House,2,,,554,,Jen Lowe
55,516/30 Hood Street,"$420,000",Apr 2021,$375pw,May 2017,Apartment,1,1,1,,,Clare Nation
56,3/454 Roberts Road,"$730,000",Apr 2021,$625pw,Mar 2020,,,,,187,146,
57,3A View Street,"$1,400,000",Apr 2021,$620pw,Jul 2018,House,3,2,1,382,,Niki Peinke
58,202/18 Atkinson Road,"$358,000",Apr 2021,,,Apartment,1,1,1,68,,Brad Raynor
59,4 Coral Tree Avenue,"$1,385,000",Apr 2021,"$1,000pw",Oct 2007,House,3,2,2,200,,Susan Taylor
60,44 Derby Road,"$776,000",Apr 2021,$620pw,Jun 2021,Townhouse,1,2,2,135,,
61,1 Ellen Street,"$805,000",Apr 2021,,,Townhouse,2,2,2,158,88,Clare Nation
62,40 Olive Street,"$1,350,000",Apr 2021,$950pw,Jun 2018,House,4,2,2,272,231,
63,5/11 Brigid Road,"$340,000",Apr 2021,$420pw,Jun 2015,Apartment,1,1,1,"3,019",,Clare Nation
64,56/1 Sheen Street,"$335,000",Apr 2021,$340pw,Feb 2018,,,,,"3,397",,
65,1 Leccino Lane,"$279,300",Apr 2021,,,Apartment,,,,,,
66,3/150 Hay Street,"$485,000",Apr 2021,$450pw,Apr 2019,Apartment,1,1,1,658,91,Niki Peinke
67,8/199 Barker Road,"$875,000",Apr 2021,$650pw,May 2014,,,,,"1,094",103,Samantha Payne
68,306/1 Wexford Street,"$395,000",Apr 2021,$375pw,Dec 2016,Apartment,1,1,1,,,Emily Garden
69,20 Rawson Street,"$1,625,000",Apr 2021,,,House,3,1,1,,,
70,202/16 Atkinson Road,"$640,000",Apr 2021,$550pw,Apr 2021,Apartment,2,2,2,68,,Brad Raynor
71,67 Hensman Road,"$1,800,000",Apr 2021,,,House,3,,,554,160,
72,157 Railway Road,"$920,000",Mar 2021,$450pw,Sep 2018,House,2,1,2,386,,Samantha Payne
73,22 Browne Street,"$1,540,000",Mar 2021,$425pw,Jul 2020,House,3,1,1,554,,
74,101/74 Price Street,"$710,000",Mar 2021,,,Apartment,,,,73,,Kate Gale
75,314/18 Atkinson Road,"$310,000",Mar 2021,,,Apartment,1,1,1,,,Brad Raynor
76,8 Price Street,"$880,000",Mar 2021,$795pw,Dec 2008,Townhouse,4,3,2,227,182,Berny Wales
77,5/276 Barker Road,"$398,000",Mar 2021,$420pw,May 2021,Apartment,1,1,1,366,75,Simon Pigliardo
78,1/110 Subiaco Road,"$460,000",Mar 2021,,,Townhouse,2,1,1,86,75,Ivan Helman
79,315/18 Atkinson Road,"$475,000",Mar 2021,,,Apartment,2,1,2,,,Brad Raynor
80,8/295 Roberts Road,"$625,000",Mar 2021,$495pw,Mar 2010,Townhouse,2,1,2,185,82,Clare Nation
81,10/346 BARKER Road,"$632,500",Feb 2021,$550pw,Nov 2019,Apartment,2,2,1,181,,Niki Peinke
82,G01/16 Atkinson Road,"$420,000",Feb 2021,,,Apartment,2,1,2,68,,Brad Raynor
83,23/102 Townshend Road,"$330,000",Feb 2021,$380pw,Feb 2015,Apartment,1,1,1,"1,625",,Clare Nation
84,129 Heytesbury Road,"$2,500,000",Feb 2021,,,House,,,,794,,Craig Gaspar
85,5 Clare Lane,"$1,393,000",Feb 2021,$900pw,Jun 2017,House,3,2,2,200,,Suzy Costanzo
86,280 Nicholson Road,"$1,240,000",Feb 2021,,,House,4,1,2,445,447,Suzy Costanzo
87,74 Hensman Road,"$1,620,000",Feb 2021,,,House,3,2,2,374,204,Craig Gaspar
88,5/380 Roberts Road,"$545,000",Jan 2021,$475pw,Jun 2017,Apartment,2,2,2,144,89,Arash Kalani
89,611/74 Price Street,"$479,000",Jan 2021,,,Apartment,,,,,,
90,201 Hamersley Road,"$2,175,000",Jan 2021,,,House,4,2,2,488,,
91,38 Mere View Way,"$1,260,000",Jan 2021,,,House,4,2,2,,,Niki Peinke
92,67 Rowland Street,"$1,188,000",Jan 2021,,,House,3,2,2,170,160,Clare Nation
93,204/16 Atkinson Road,"$585,000",Jan 2021,,,Apartment,2,1,2,68,,Brad Raynor
