address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent
30 Loftus Street,Nedlands,WA,6009,30 Loftus Street Nedlands WA 6009,"$1,540,000",Jul-21,House,3,1,2,696,,1945,,,Belinda Airey
95 Broadway,Nedlands,WA,6009,95 Broadway Nedlands WA 6009,"$2,280,000",Jul-21,House,5,3,0,883,268,1923,$995pw,Sep-14,
42 Kinninmont Avenue,Nedlands,WA,6009,42 Kinninmont Avenue Nedlands WA 6009,"$2,050,000",Jul-21,House,3,1,1,"1,012",186,1950,,,Jac Fear
103/139 Broadway,Nedlands,WA,6009,103/139 Broadway Nedlands WA 6009,"$789,000",Jul-21,Apartment,2,2,2,,91,2020,,,
15 Vincent Street,Nedlands,WA,6009,15 Vincent Street Nedlands WA 6009,"$1,960,000",Jul-21,House,3,2,2,996,,1940,$650pw,May-15,Simon Maynard
19 Vincent Street,Nedlands,WA,6009,19 Vincent Street Nedlands WA 6009,"$1,960,000",Jul-21,House,2,1,1,996,,1936,,,Simon Maynard
3/28 Stirling Highway,Nedlands,WA,6009,3/28 Stirling Highway Nedlands WA 6009,"$574,000",Jul-21,Apartment,2,2,1,98,98,1979,$580pw,Oct-15,Andy Thorpe
50 Kanimbla Road,Nedlands,WA,6009,50 Kanimbla Road Nedlands WA 6009,"$1,000,000",Jun-21,House,3,2,2,297,90,1985,,,David Airey
16 Williams Road,Nedlands,WA,6009,16 Williams Road Nedlands WA 6009,"$1,070,000",Jun-21,House,2,1,1,455,115,1936,$450pw,Aug-17,
34 Bruce Street,Nedlands,WA,6009,34 Bruce Street Nedlands WA 6009,"$2,480,000",Jun-21,House,4,2,6,883,282,1938,,,Michelle Kerr
29B Dalkeith Road,Nedlands,WA,6009,29B Dalkeith Road Nedlands WA 6009,"$1,100,000",Jun-21,House,3,2,4,312,186,1999,$900pw,Aug-13,Michelle Kerr
1B Rockton Road,Nedlands,WA,6009,1B Rockton Road Nedlands WA 6009,"$1,175,000",May-21,House,3,2,1,317,146,1989,$750pw,Mar-20,
135 Broadway,Nedlands,WA,6009,135 Broadway Nedlands WA 6009,"$2,375,000",May-21,House,3,1,2,880,115,1918,$330pw,Apr-20,Tony Cowan
23 Meriwa Street,Nedlands,WA,6009,23 Meriwa Street Nedlands WA 6009,"$1,410,000",May-21,House,3,2,2,513,215,1950,$800pw,Dec-17,Michelle Kerr
3/89-91 Stirling Highway,Nedlands,WA,6009,3/89-91 Stirling Highway Nedlands WA 6009,"$467,000",May-21,Apartment,2,1,1,87,87,1937,$495pw,Apr-21,Michelle Ralph
36 Archdeacon Street,Nedlands,WA,6009,36 Archdeacon Street Nedlands WA 6009,"$2,980,000",Apr-21,House,5,3,2,809,375,1950,,,Michelle Kerr
1/53 Stirling Highway,Nedlands,WA,6009,1/53 Stirling Highway Nedlands WA 6009,"$420,000",Apr-21,Apartment,2,1,1,84,84,1966,$370pw,Mar-20,Jac Fear
