,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
0,30 Loftus Street,"$1,540,000",Jul 2021,House,,,,696,Belinda Airey,,,
1,95 Broadway,"$2,280,000",Jul 2021,House,4,3,2,883,,$995pw,Sep 2014,268
2,42 Kinninmont Avenue,"$2,050,000",Jul 2021,House,3,1,1,"1,012",Jac Fear,,,
3,103/139 Broadway,"$789,000",Jul 2021,Apartment,2,2,2,,,,,
4,15 Vincent Street,"$1,960,000",Jul 2021,House,3,2,2,996,Simon Maynard,$650pw,May 2015,
5,19 Vincent Street,"$1,960,000",Jul 2021,House,2,1,,996,Simon Maynard,,,
6,3/28 Stirling Highway,"$574,000",Jul 2021,Apartment,2,2,1,"3,749",Andy Thorpe,$580pw,Oct 2015,
7,50 Kanimbla Road,"$1,000,000",Jun 2021,House,3,2,2,297,David Airey,,,90
8,16 Williams Road,"$1,070,000",Jun 2021,House,2,1,1,456,,$450pw,Aug 2017,
9,34 Bruce Street,"$2,480,000",Jun 2021,House,5,1,,883,Michelle Kerr,,,
10,29B Dalkeith Road,"$1,100,000",Jun 2021,House,3,2,2,312,Michelle Kerr,$900pw,Aug 2013,186
11,1B Rockton Road,"$1,175,000",May 2021,House,3,2,2,317,,$750pw,Mar 2020,146
12,135 Broadway,"$2,375,000",May 2021,House,3,1,2,883,Tony Cowan,$330pw,Apr 2020,130
13,23 Meriwa Street,"$1,410,000",May 2021,House,3,2,1,513,Michelle Kerr,$800pw,Dec 2017,206
14,3/89-91 Stirling Highway,"$467,000",May 2021,Apartment,2,1,1,"1,924",Michelle Ralph,$495pw,Apr 2021,
15,36 Archdeacon Street,"$2,980,000",Apr 2021,House,3,1,,810,Michelle Kerr,,,
16,1/53 Stirling Highway,"$420,000",Apr 2021,Apartment,2,1,1,"1,956",Jac Fear,$370pw,Mar 2020,84
17,4/14 Monash Avenue,"$615,000",Apr 2021,Townhouse,3,1,1,607,Marie Staniland,,,109
18,51 Stanley Street,"$1,830,000",Apr 2021,House,5,2,2,"1,012",,$920pw,Mar 2018,
19,2 Thomas Street,"$1,850,000",Apr 2021,House,3,2,2,"1,046",Michelle Kerr,,,101
20,7/59 Dalkeith Road,"$620,000",Apr 2021,Townhouse,3,1,1,93,Kate Gale,$390pw,Aug 2020,
21,88 Bruce Street,"$1,530,000",Apr 2021,House,,,,712,Michelle Kerr,,,
22,104 Williams Road,"$745,000",Mar 2021,,,,,343,Alison Davies,$380pw,Feb 2020,
23,14 Karella Street,"$1,450,000",Mar 2021,House,3,3,2,594,Susan James,,,205
24,14 Loch Street,"$950,000",Mar 2021,House,2,1,,697,Stuart Paterson,,,
25,15/26 Broome Street,"$555,000",Mar 2021,House,3,1,1,"3,983",Peter Clements,$430pw,Sep 2016,110
26,66 Bruce Street,"$2,250,000",Mar 2021,House,6,3,2,880,,,,416
27,2/16 Monash Avenue,"$615,000",Mar 2021,,,,,"1,214",,$495pw,Oct 2015,111
28,16 Mountjoy Road,"$2,416,000",Mar 2021,House,4,2,2,"1,012",Mitra Roshan,,,
29,35 Langham Street,"$1,780,000",Feb 2021,House,4,2,2,908,Michelle Kerr,,,225
30,45 Webster Street,"$2,928,888",Feb 2021,House,5,3,2,"1,012",James Thompson,"$1,900pw",May 2019,
31,37a Cooper Street,"$865,000",Feb 2021,,,,,908,,,,
32,8 Taylor Road,"$1,850,000",Jan 2021,House,2,1,,,,,,
33,33 Martin Avenue,"$1,650,000",Jan 2021,House,3,1,2,"1,012",Michelle Kerr,,,
34,"Lot 4, 27 Baird Avenue","$530,000",Jan 2021,,,,,230,,,,
35,45 Viewway,"$1,900,000",Jan 2021,House,4,2,2,880,Michelle Kerr,,,220
36,25 Elizabeth Street,"$2,200,000",Jan 2021,House,4,2,2,809,Michelle Kerr,,,281
37,10 Taylor Road,"$1,750,000",Jan 2021,House,4,1,2,,,,,
38,12 Taylor Road,"$1,750,000",Jan 2021,House,4,2,1,,,,,
39,31 Napier Street,"$2,350,000",Jan 2021,House,4,2,2,697,,$850pw,Oct 2008,384
40,43 Viewway,"$1,680,000",Dec 2020,House,4,2,2,880,Michelle Kerr,$800pw,Jan 2009,
41,61 Meriwa Street,"$1,155,000",Dec 2020,House,2,1,,456,,$550pw,Mar 2019,98
42,1/28 Stirling Highway,"$720,000",Dec 2020,House,4,2,1,"3,749",Peter Clements,,,109
43,81 Mountjoy Road,"$2,750,000",Dec 2020,House,2,1,,"1,013",,$500pw,Nov 2010,426
44,31 Waroonga Road,"$1,840,000",Dec 2020,House,3,1,2,923,,$950pw,Dec 2020,137
45,15 Dalkeith Road,"$1,900,000",Nov 2020,House,3,1,,"1,016",,,,
46,100A Smyth Road,"$585,000",Nov 2020,,,,,307,Mitra Roshan,,,
47,46 Rockton Road,"$1,628,000",Nov 2020,House,4,1,6,,Ken Baker,,,
