address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
6/11 Shenton Street,Northbridge,WA,6003,6/11 Shenton Street Northbridge WA 6003,"$440,000",Jul-21,Apartment,2,1,1,108.0,84.0,1996.0,$475pw,Dec-17,Claude Iaconi,-31.9461075,115.8545101
4/335 Newcastle Street,Northbridge,WA,6003,4/335 Newcastle Street Northbridge WA 6003,"$320,000",May-21,Apartment,1,1,1,82.0,56.0,2008.0,$300pw,Sep-16,,-31.9439185,115.8554343
2/89 Aberdeen Street,Northbridge,WA,6003,2/89 Aberdeen Street Northbridge WA 6003,"$379,000",May-21,Apartment,2,1,1,99.0,67.0,2016.0,$380pw,Aug-19,Brendon Habak,-31.9468518,115.8587809
2/2 Davies Street,Northbridge,WA,6003,2/2 Davies Street Northbridge WA 6003,"$333,000",May-21,Unit,1,1,1,83.0,58.0,2006.0,$330pw,Nov-18,Arash Kalani,-31.9440228,115.8557109
39/258-264 Newcastle,Northbridge,WA,6003,39/258-264 Newcastle Northbridge WA 6003,"$526,350",May-21,Apartment,2,2,2,173.0,124.0,2005.0,,,,-31.9449864,115.8589406
43 John Street,Northbridge,WA,6003,43 John Street Northbridge WA 6003,"$620,000",May-21,Townhouse,2,2,1,174.0,116.0,1996.0,,,Claude Iaconi,-31.9452194,115.853374
26/103-105 Francis Street,Northbridge,WA,6003,26/103-105 Francis Street Northbridge WA 6003,"$449,000",Apr-21,Apartment,2,1,1,113.0,56.0,2009.0,$495pw,Oct-16,James Yeoman,-31.9469101,115.8565863
29/89 Aberdeen Street,Northbridge,WA,6003,29/89 Aberdeen Street Northbridge WA 6003,"$320,000",Apr-21,Apartment,1,1,1,57.0,40.0,2016.0,$350pw,May-19,Brendan Smith,-31.9468518,115.8587809
6/103-105 Francis Street,Northbridge,WA,6003,6/103-105 Francis Street Northbridge WA 6003,"$310,000",Apr-21,Apartment,1,2,1,82.0,54.0,2009.0,$310pw,Jan-18,,-31.9469101,115.8565863
16/19 Little Shenton Lane,Northbridge,WA,6003,16/19 Little Shenton Lane Northbridge WA 6003,"$385,000",Apr-21,Unit,2,1,0,108.0,83.0,1996.0,$380pw,Mar-20,,-31.9456456,115.853406
13/19 Little Shenton Lane,Northbridge,WA,6003,13/19 Little Shenton Lane Northbridge WA 6003,"$410,000",Apr-21,Apartment,2,1,1,137.0,86.0,1996.0,$360pw,Sep-19,,-31.9456456,115.853406
2/5 Antonas Road,Northbridge,WA,6003,2/5 Antonas Road Northbridge WA 6003,"$210,000",Apr-21,Apartment,2,2,1,95.0,60.0,2010.0,,,Brad Triplett,-31.9440299,115.8548295
2/9 Shenton Street,Northbridge,WA,6003,2/9 Shenton Street Northbridge WA 6003,"$448,000",Jan-21,Apartment,2,1,1,124.0,82.0,1996.0,$390pw,Sep-18,,-31.9462105,115.8544176
16 Kakulas Crescent,Northbridge,WA,6003,16 Kakulas Crescent Northbridge WA 6003,"$1,250,000",Jan-21,House,3,2,2,246.0,250.0,2005.0,,,Claude Iaconi,-31.9452293,115.8576097
15a/120-122 Lake Street,Northbridge,WA,6003,15a/120-122 Lake Street Northbridge WA 6003,"$360,000",Dec-20,Apartment,2,1,1,,,,,,,-31.9447634,115.8592993
1/52 Fitzgerald Street,Northbridge,WA,6003,1/52 Fitzgerald Street Northbridge WA 6003,"$360,000",Nov-20,Unit,2,1,1,123.0,84.0,1996.0,$360pw,Sep-19,,-31.94553,115.85301
8/103 Francis Street,Northbridge,WA,6003,8/103 Francis Street Northbridge WA 6003,"$380,000",Nov-20,Apartment,2,2,1,105.0,78.0,2009.0,$550pw,Jun-15,,-31.94691,115.85659
97/269 James Street,Northbridge,WA,6003,97/269 James Street Northbridge WA 6003,"$418,000",Oct-20,Apartment,2,2,1,112.0,74.0,2016.0,,,,-31.9460099,115.8518658
40/134 Aberdeen Street,Northbridge,WA,6003,40/134 Aberdeen Street Northbridge WA 6003,"$365,000",Oct-20,Apartment,2,2,1,122.0,88.0,2005.0,,,,-31.9450797,115.856474
107/228 James Street,Northbridge,WA,6003,107/228 James Street Northbridge WA 6003,"$415,000",Sep-20,Townhouse,3,2,1,158.0,123.0,1995.0,,,,-31.946032,115.8532393
53/134 Aberdeen Street,Northbridge,WA,6003,53/134 Aberdeen Street Northbridge WA 6003,"$375,000",Sep-20,Apartment,2,2,1,139.0,100.0,2005.0,$430pw,Apr-19,,-31.9450797,115.856474
36/269 JAMES Street,Northbridge,WA,6003,36/269 JAMES Street Northbridge WA 6003,"$290,000",Jul-20,Apartment,1,1,1,79.0,48.0,2016.0,$390pw,Feb-19,,-31.9460099,115.8518658
47/89 Aberdeen Street,Northbridge,WA,6003,47/89 Aberdeen Street Northbridge WA 6003,"$415,000",Jul-20,Apartment,2,2,1,98.0,71.0,2016.0,$450pw,Oct-17,,-31.9468518,115.8587809
17/182 James Street,Northbridge,WA,6003,17/182 James Street Northbridge WA 6003,"$433,000",Jun-20,Unit,2,2,1,158.0,134.0,1996.0,$430pw,May-20,,-31.9471513,115.855804
"1-7, 84 Fitzgerald Street",Northbridge,WA,6003,"1-7, 84 Fitzgerald Street Northbridge WA 6003","$2,200,000",May-20,Apartment,3,2,1,153.0,118.0,2009.0,$525pw,Aug-20,,-31.9437315,115.8541519
205/403 Newcastle Street,Northbridge,WA,6003,205/403 Newcastle Street Northbridge WA 6003,"$330,000",May-20,Unit,2,2,1,99.0,72.0,2009.0,$420pw,May-20,,-31.9429044,115.8531468
14/5 Antonas Road,Northbridge,WA,6003,14/5 Antonas Road Northbridge WA 6003,"$315,000",Apr-20,Unit,0,2,1,98.0,69.0,2010.0,,,,-31.9440299,115.8548295
77/269 James Street,Northbridge,WA,6003,77/269 James Street Northbridge WA 6003,"$465,000",Feb-20,Unit,2,2,1,112.0,78.0,2016.0,,,,-31.9460099,115.8518658
18/134 Aberdeen Street,Northbridge,WA,6003,18/134 Aberdeen Street Northbridge WA 6003,"$390,000",Feb-20,Unit,2,2,1,123.0,88.0,2005.0,,,,-31.9450797,115.856474
8 Little Shenton Lane,Northbridge,WA,6003,8 Little Shenton Lane Northbridge WA 6003,"$470,000",Feb-20,Townhouse,2,1,1,138.0,94.0,1996.0,$400pw,Jun-17,,-31.94605,115.85411
23/89 Aberdeen Street,Northbridge,WA,6003,23/89 Aberdeen Street Northbridge WA 6003,"$420,000",Dec-19,Apartment,2,2,1,99.0,71.0,2016.0,$430pw,Nov-18,,-31.9468518,115.8587809
21 Little Shenton Lane,Northbridge,WA,6003,21 Little Shenton Lane Northbridge WA 6003,"$671,000",Nov-19,Townhouse,3,2,2,196.0,122.0,1995.0,$600pw,Apr-19,,-31.9461159,115.8536428
18/182 James Street,Northbridge,WA,6003,18/182 James Street Northbridge WA 6003,"$585,000",Nov-19,Apartment,2,2,1,176.0,123.0,1996.0,,,,-31.9471513,115.855804
43/191 James Street,Northbridge,WA,6003,43/191 James Street Northbridge WA 6003,"$295,000",Oct-19,Apartment,2,1,1,94.0,75.0,1996.0,$350pw,Oct-18,,-31.9474649,115.8553373
24/134 Aberdeen Street,Northbridge,WA,6003,24/134 Aberdeen Street Northbridge WA 6003,"$410,000",Oct-19,Apartment,2,2,1,141.0,92.0,2005.0,$400pw,Feb-18,,-31.9450797,115.856474
17 Palmerston Street,Northbridge,WA,6003,17 Palmerston Street Northbridge WA 6003,"$1,353,332",Jul-19,Townhouse,5,6,2,243.0,406.0,2006.0,$1920pw,Dec-08,,-31.9445777,115.8561807
17/19 Little Shenton Lane,Northbridge,WA,6003,17/19 Little Shenton Lane Northbridge WA 6003,"$423,000",Jul-19,Apartment,2,1,1,107.0,86.0,1996.0,,,Realmark Central,-31.9456456,115.853406
