,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
0,6/11 Shenton Street,"$440,000",Jul 2021,$475pw,Dec 2017,Apartment,2,1,1,108,84,Claude Iaconi
1,4/335 Newcastle Street,"$320,000",May 2021,$300pw,Sep 2016,Apartment,1,1,1,627,56,
2,2/89 Aberdeen Street,"$379,000",May 2021,$380pw,Aug 2019,Apartment,2,1,1,,,Brendon Habak
3,2/2 Davies Street,"$333,000",May 2021,$330pw,Nov 2018,,,,,501,58,Arash Kalani
4,39/258-264 Newcastle,"$526,350",May 2021,,,Apartment,,,,,,
5,43 John Street,"$620,000",May 2021,,,House,2,2,1,,,Claude Iaconi
6,26/103-105 Francis Street,"$449,000",Apr 2021,,,Apartment,2,1,1,,,James Yeoman
7,29/89 Aberdeen Street,"$320,000",Apr 2021,$350pw,May 2019,Apartment,1,1,1,,,Brendan Smith
8,6/103-105 Francis Street,"$310,000",Apr 2021,,,Apartment,,,,,,
9,16/19 Little Shenton Lane,"$385,000",Apr 2021,$380pw,Mar 2020,,,,,108,,
10,13/19 Little Shenton Lane,"$410,000",Apr 2021,$360pw,Sep 2019,Apartment,2,1,1,"1,563",,
11,2/5 Antonas Road,"$210,000",Apr 2021,,,Apartment,2,2,1,"1,187",60,Brad Triplett
12,2/9 Shenton Street,"$448,000",Jan 2021,$390pw,Sep 2018,Apartment,2,1,1,"1,477",82,
13,16 Kakulas Crescent,"$1,250,000",Jan 2021,,,House,3,2,2,246,272,Claude Iaconi
14,15a/120-122 Lake Street,"$360,000",Dec 2020,,,Apartment,,,,,,
15,1/52 Fitzgerald Street,"$360,000",Nov 2020,$360pw,Sep 2019,,,,,"2,156",84,
16,8/103 Francis Street,"$380,000",Nov 2020,$550pw,Jun 2015,Apartment,2,2,1,"1,106",,
17,97/269 James Street,"$418,000",Oct 2020,,,Apartment,2,2,1,,,
18,40/134 Aberdeen Street,"$365,000",Oct 2020,,,Apartment,,,,122,,
19,107/228 James Street,"$415,000",Sep 2020,,,Townhouse,3,2,1,158,,
20,53/134 Aberdeen Street,"$375,000",Sep 2020,$430pw,Apr 2019,Apartment,2,2,1,,,
21,36/269 JAMES Street,"$290,000",Jul 2020,$390pw,Feb 2019,Apartment,1,1,1,79,,
22,47/89 Aberdeen Street,"$415,000",Jul 2020,$450pw,Oct 2017,Apartment,2,2,1,,,
23,17/182 James Street,"$433,000",Jun 2020,$430pw,May 2020,,,,,158,134,
24,"1-7, 84 Fitzgerald Street","$2,200,000",May 2020,,,Apartment,,,,111,,
25,1-7 84 Fitzgerald Street,"$2,200,000",May 2020,,,,,,,,,
26,205/403 Newcastle Street,"$330,000",May 2020,$420pw,May 2020,,,,,"1,209",,
27,14/5 Antonas Road,"$315,000",Apr 2020,,,,,,,"1,187",69,
28,77/269 James Street,"$465,000",Feb 2020,,,House,2,2,1,112,,
29,18/134 Aberdeen Street,"$390,000",Feb 2020,,,,,,,123,88,
30,8 Little Shenton Lane,"$470,000",Feb 2020,$400pw,Jun 2017,Townhouse,2,1,1,138,,
31,23/89 Aberdeen Street,"$420,000",Dec 2019,$430pw,Nov 2018,Apartment,2,2,1,,,
32,21 Little Shenton Lane,"$671,000",Nov 2019,$600pw,Apr 2019,Townhouse,3,2,2,"1,653",122,
33,18/182 James Street,"$585,000",Nov 2019,,,Apartment,2,2,1,176,,
34,43/191 James Street,"$295,000",Oct 2019,$350pw,Oct 2018,Apartment,2,1,1,"1,797",75,
35,24/134 Aberdeen Street,"$410,000",Oct 2019,$400pw,Feb 2018,Apartment,2,2,1,,,
36,17 Palmerston Street,"$1,353,332",Jul 2019,,,House,5,6,2,243,,
37,17/19 Little Shenton Lane,"$423,000",Jul 2019,,,Apartment,2,1,1,107,86,Realmark Central
38,10/10 Pendal Lane SOLD-SOLD,"$475,000",May 2019,,,Apartment,2,2,1,,,Tyler & Sons - Perth
39,228 Brisbane Street SOLD,"$530,000",May 2019,,,,,,,,,Tyler & Sons - Perth
40,230 Brisbane Street SOLD,"$515,000",May 2019,,,,,,,67,,Tyler & Sons - Perth
41,27/103 Francis Street,"$495,000",May 2019,$580pw,Jul 2015,Apartment,2,2,1,107,,
42,34/134 Aberdeen Street,"$472,000",Apr 2019,,,Apartment,2,2,1,"4,520",100,Realestate 88 East Perth
43,1/269 Newcastle Street,"$680,000",Mar 2019,$620pw,Nov 2020,Apartment,3,3,2,200,151,Bellcourt Property Group - Shenton Park
44,90/269 James Street,"$500,000",Feb 2019,$550pw,Nov 2019,Apartment,2,2,1,101,101,Colliers International - Perth
45,37/269 James Street,"$465,000",Feb 2019,$510pw,Jun 2019,Apartment,2,2,1,113,78,Realestate 88 East Perth - EAST PERTH
46,111/269 James Street,"$517,000",Feb 2019,$550pw,Jun 2016,Apartment,2,2,2,,,Realmark Central
47,54/269 James Street,"$480,000",Feb 2019,,,Apartment,2,2,1,113,101,Realestate 88 East Perth
48,63/269 James Street,"$485,000",Dec 2018,,,Apartment,2,2,1,113,,Realestate 88 East Perth
49,10 Kakulas Crescent,"$845,000",Dec 2018,$700pw,Dec 2016,House,3,2,2,246,,CavMac Property - Cockburn Central
50,35/269 James Street,"$458,000",Nov 2018,,,Apartment,2,2,1,113,78,Realestate 88 East Perth
51,3/222 James Street,"$356,000",Oct 2018,$420pw,May 2018,Apartment,2,1,1,113,87,Realestate 88 East Perth
52,23/269 James Street,"$455,000",Oct 2018,,,Apartment,2,2,1,,,Colliers International - Perth
53,99/269 James Street,"$510,000",Oct 2018,$550pw,Dec 2018,Apartment,2,2,1,113,78,Realestate 88 East Perth
54,55/191 James Street,"$410,000",Oct 2018,$440pw,Oct 2020,Apartment,2,1,1,"1,797",79,Realestate 88 East Perth
55,81/269 James Street,"$508,000",Sep 2018,,,Apartment,2,2,1,,,Realestate 88 East Perth
56,26/103 Francis Street,"$405,000",Sep 2018,$510pw,Oct 2016,Apartment,2,1,1,,,Limnios Property Group - Perth
57,34/89 Aberdeen Street,"$475,000",Sep 2018,,,Apartment,,,,106,,
58,19/5 Antonas Road,"$408,000",Aug 2018,,,House,2,2,1,132,95,First National Real Estate Druitt & Shead - Scarbo
