address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
10/2 Mayfair Street,West Perth,WA,6005,10/2 Mayfair Street West Perth WA 6005,"$410,000",Aug-21,Apartment,2,2,1,102,81.0,2001.0,$400pw,Jun-19,,-31.94858,115.84352
42/33 MALCOLM STREET,West Perth,WA,6005,42/33 MALCOLM STREET West Perth WA 6005,"$1,050,000",Jul-21,House,3,2,2,158,140.0,2010.0,"$1,200pw",Feb-19,,-31.9534429,115.8473896
6/16 Carr Street,West Perth,WA,6005,6/16 Carr Street West Perth WA 6005,"$550,000",Jul-21,Townhouse,3,2,2,190,107.0,1990.0,,,Ashby Farrell,-31.9405829,115.854431
11/875 Wellington Street,West Perth,WA,6005,11/875 Wellington Street West Perth WA 6005,"$110,000",Jul-21,Apartment,1,1,0,34,34.0,1985.0,,,Daniel Porcaro,-31.947954,115.8463075
6/1 Carr Street,West Perth,WA,6005,6/1 Carr Street West Perth WA 6005,"$442,000",Jul-21,Apartment,3,1,1,156,88.0,1998.0,$575pw,Mar-21,Annette O'Brien-Oxley,-31.9415034,115.8542559
1607/659 Murray,West Perth,WA,6005,1607/659 Murray West Perth WA 6005,"$610,000",Jul-21,Apartment,2,2,1,111,74.0,2018.0,,,Ian Fatharly,-31.9488032,115.845545
2/60 Cleaver Street,West Perth,WA,6005,2/60 Cleaver Street West Perth WA 6005,"$510,000",Jul-21,Apartment,3,1,2,183,119.0,1992.0,$420pw,Jan-19,Peter Hall,-31.93774,115.84964
5/132 Carr Street,West Perth,WA,6005,5/132 Carr Street West Perth WA 6005,"$480,000",Jul-21,Apartment,2,1,1,77,72.0,1976.0,,,,-31.9374486,115.8481907
11/129 Carr Street,West Perth,WA,6005,11/129 Carr Street West Perth WA 6005,"$420,000",Jul-21,Townhouse,2,1,1,156,82.0,1991.0,,,,-31.9384198,115.8482484
5/146 Carr Street,West Perth,WA,6005,5/146 Carr Street West Perth WA 6005,"$430,000",Jul-21,Apartment,3,1,1,101,83.0,1995.0,$390pw,Nov-18,,-31.9373336,115.8476246
22/105 Colin Street,West Perth,WA,6005,22/105 Colin Street West Perth WA 6005,"$700,000",Jun-21,Apartment,3,2,2,155,113.0,2001.0,,,Richard Self,-31.9465842,115.842703
5/123C COLIN Street,West Perth,WA,6005,5/123C COLIN Street West Perth WA 6005,"$345,000",Jun-21,Apartment,2,1,1,105,91.0,1997.0,$390pw,Jun-18,Claude Iaconi,-31.9457068,115.8429401
17/66 Cleaver Street,West Perth,WA,6005,17/66 Cleaver Street West Perth WA 6005,"$175,000",Jun-21,Unit,1,1,1,42,40.0,1970.0,$200pw,Sep-19,,-31.9373671,115.8495655
10/14 Lawley Street,West Perth,WA,6005,10/14 Lawley Street West Perth WA 6005,"$198,000",Jun-21,Apartment,1,1,1,54,36.0,1969.0,,,Darcy Glynn,-31.9378803,115.8557636
2/11 Colin Street,West Perth,WA,6005,2/11 Colin Street West Perth WA 6005,"$480,000",Jun-21,Apartment,1,1,2,117,51.0,1936.0,$440pw,Feb-21,,-31.9517311,115.8404617
16/21 Altona Street,West Perth,WA,6005,16/21 Altona Street West Perth WA 6005,"$591,000",Jun-21,Apartment,2,2,1,74,74.0,2014.0,$550pw,Mar-17,James Thompson,-31.9508438,115.8395682
3/143 Carr Street,West Perth,WA,6005,3/143 Carr Street West Perth WA 6005,"$610,000",Jun-21,Townhouse,3,2,2,168,113.0,1993.0,$525pw,Jan-20,Richard Self,-31.93816,115.84741
36/7 Delhi Street,West Perth,WA,6005,36/7 Delhi Street West Perth WA 6005,"$430,000",Jun-21,Apartment,2,2,1,110,82.0,2002.0,$420pw,May-19,Annie Kowal,-31.9469085,115.8463538
1802/659 Murray Street,West Perth,WA,6005,1802/659 Murray Street West Perth WA 6005,"$385,000",Jun-21,Apartment,1,1,1,75,58.0,2018.0,,,Joel Cooper,-31.9488032,115.845545
64/1 Carr Street,West Perth,WA,6005,64/1 Carr Street West Perth WA 6005,"$445,000",Jun-21,Unit,3,2,1,117,85.0,1998.0,,,Simon Pigliardo,-31.9415034,115.8542559
13/15-19 Carr Street,West Perth,WA,6005,13/15-19 Carr Street West Perth WA 6005,"$425,000",Jun-21,Apartment,2,2,1,128,81.0,2007.0,$460pw,Sep-15,Richard Self,-31.9407246,115.8540108
