,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
0,10/2 Mayfair Street,"$410,000",Aug 2021,$400pw,Jun 2019,Apartment,2,2,1,102,81,
1,42/33 MALCOLM STREET,"$1,050,000",Jul 2021,"$1,200pw",Feb 2019,House,3,2,2,"1,701",140,
2,6/16 Carr Street,"$550,000",Jul 2021,,,Townhouse,3,2,2,190,,Ashby Farrell
3,11/875 Wellington Street,"$110,000",Jul 2021,,,Apartment,,,,,,Daniel Porcaro
4,6/1 Carr Street,"$442,000",Jul 2021,$575pw,Mar 2021,Apartment,3,1,1,156,88,Annette O'Brien-Oxley
5,1607/659 Murray,"$610,000",Jul 2021,,,Apartment,2,2,1,,,Ian Fatharly
6,2/60 Cleaver Street,"$510,000",Jul 2021,$420pw,Jan 2019,,,,,183,119,Peter Hall
7,5/132 Carr Street,"$480,000",Jul 2021,,,,,,,"2,789",,
8,11/129 Carr Street,"$420,000",Jul 2021,,,Townhouse,2,1,1,,,
9,5/146 Carr Street,"$430,000",Jul 2021,$390pw,Nov 2018,,,,,"1,577",83,
10,22/105 Colin Street,"$700,000",Jun 2021,,,Apartment,3,2,2,155,,Richard Self
11,5/123C COLIN Street,"$345,000",Jun 2021,$390pw,Jun 2018,Apartment,2,1,1,105,,Claude Iaconi
12,17/66 Cleaver Street,"$175,000",Jun 2021,$200pw,Sep 2019,,,,,"3,422",,
13,10/14 Lawley Street,"$198,000",Jun 2021,,,Apartment,1,1,1,,,Darcy Glynn
14,2/11 Colin Street,"$480,000",Jun 2021,$440pw,Feb 2021,,,,,719,,
15,16/21 Altona Street,"$591,000",Jun 2021,$550pw,Mar 2017,Apartment,2,2,1,74,,James Thompson
16,3/143 Carr Street,"$610,000",Jun 2021,$525pw,Jan 2020,Townhouse,3,2,2,897,113,Richard Self
17,36/7 Delhi Street,"$430,000",Jun 2021,$420pw,May 2019,Apartment,2,2,1,110,82,Annie Kowal
18,1802/659 Murray Street,"$385,000",Jun 2021,,,Apartment,1,1,1,75,,Joel Cooper
19,64/1 Carr Street,"$445,000",Jun 2021,,,,,,,117,85,Simon Pigliardo
20,13/15-19 Carr Street,"$425,000",Jun 2021,$460pw,Sep 2015,Apartment,2,2,1,"6,092",81,Richard Self
21,8c/1303 Hay Street,"$680,000",May 2021,,,Apartment,2,2,2,161,,Richard Self
22,213 Vincent Street,"$790,000",May 2021,,,House,3,1,1,319,,Helen Bond
23,4/14 Lawley Street,"$195,000",May 2021,$250pw,Aug 2018,,,,,54,,Darcy Glynn
24,30/5 Delhi Street,"$495,000",May 2021,,,Apartment,3,2,1,,,Richard Self
25,1306/659 Murray Street,"$572,000",May 2021,,,Apartment,,,,115,,
26,26/36 Kings Park Road,"$360,000",May 2021,$375pw,Aug 2018,Apartment,1,1,1,"2,266",,Suzana Angeleska
27,10/11 Altona Street,"$500,000",May 2021,$500pw,Apr 2016,Apartment,2,2,1,123,88,Jill McQuoid
28,1/7 Delhi Street,"$410,000",May 2021,$430pw,Jul 2017,,,,,"3,579",85,
29,8/4 Delhi Street,"$430,000",Apr 2021,$400pw,Jul 2018,Apartment,2,2,2,"3,242",78,Anil Singh
30,22 Florence Place,"$790,000",Apr 2021,$775pw,May 2021,Townhouse,3,2,2,195,,Peter Wright
31,50 Cleaver Street,"$1,080,000",Apr 2021,,,,,,,506,,Matt Seabrook
32,E12/161 Colin Street,"$825,000",Apr 2021,,,Apartment,,,,234,,Kim Turner
33,15A Victoria Street,"$755,000",Apr 2021,$450pw,Aug 2014,Townhouse,3,2,2,189,144,Joe Raschilla
34,68/34 Kings Park Road,"$582,000",Apr 2021,,,Apartment,2,2,1,127,96,Julian Leach
35,4E/1303 Hay Street,"$360,000",Apr 2021,$350pw,Nov 2018,Apartment,1,1,1,"1,876",68,Matt Seabrook
36,6/19 Ventnor Avenue,"$395,000",Apr 2021,,,Apartment,2,2,1,100,75,Richard Self
37,3/2a Janet Street,"$550,000",Apr 2021,$400pw,Jun 2019,Townhouse,3,2,1,510,150,Richard Self
38,5/32 Cowle Street,"$390,000",Apr 2021,$325pw,Feb 2019,Apartment,1,1,1,78,,Carla Yazmadjian
39,57/2 Mayfair Street,"$366,000",Apr 2021,$380pw,Apr 2021,Apartment,1,1,1,"2,189",,Brad Triplett
40,1/11 Colin Street,"$607,500",Apr 2021,$595pw,Nov 2011,Apartment,1,1,2,719,,Emily Garden
41,43/1178 Hay Street,"$395,000",Mar 2021,,,Apartment,2,1,1,"3,365",56,
42,3/26 Florence Street,"$570,000",Mar 2021,,,Townhouse,,,,,,Claude Iaconi
43,10/105 Colin Street,"$320,000",Mar 2021,$350pw,Feb 2021,Apartment,1,1,1,79,,
44,4/47 Malcolm Street,"$632,500",Mar 2021,,,Apartment,3,2,2,149,97,Andy Thorpe
45,1/83 Carr Street,"$465,000",Mar 2021,,,,,,,75,75,Claude Iaconi
46,40/1 Douro Place,"$508,000",Mar 2021,$550pw,Feb 2019,Apartment,2,2,2,125,75,Richard Self
47,32 Oak Lane,"$485,000",Mar 2021,$550pw,Apr 2021,Townhouse,3,1,1,172,115,Carla Yazmadjian
48,20/69 Malcolm Street,"$820,000",Mar 2021,,,Apartment,,,,312,,Peter Wright
49,11/8 OUTRAM Street,"$640,000",Mar 2021,$695pw,Jan 2018,Apartment,2,2,2,129,,Richard Self
50,13/47 Malcolm Street,"$770,000",Mar 2021,$750pw,May 2020,,,,,,,Carole Saville
51,7/20 Kingston Avenue,"$320,000",Mar 2021,,,,,,,79,,
52,13/8 Outram Street,"$730,000",Mar 2021,$550pw,Dec 2016,Apartment,2,2,2,,,Judith Rae
53,36/38 Kings Park Road,"$377,000",Mar 2021,$470pw,Oct 2016,Apartment,2,1,1,,,Brendon Habak
54,70/9 Delhi Street,"$830,000",Mar 2021,$975pw,Sep 2019,Apartment,3,2,2,"6,325",182,Richard Self
55,15/34 Cowle Street,"$600,000",Mar 2021,,,Apartment,,,,,,
56,120/1178 Hay Street,"$285,000",Mar 2021,$340pw,Apr 2020,Apartment,1,1,1,"3,365",,
57,58/4 Delhi Street,"$338,000",Mar 2021,$460pw,Mar 2021,,,,,76,52,
58,209A Vincent Street,"$770,000",Feb 2021,,,Townhouse,3,2,2,159,,Peter Wright
59,1609/659 Murray Street,"$410,000",Feb 2021,,,Apartment,,,,80,,Cherry Li
60,24 Florence Street,"$1,700,000",Feb 2021,"$1,600pw",Feb 2017,House,2,1,2,785,252,Claude Iaconi
61,4/66 Cleaver Street,"$195,000",Feb 2021,$330pw,Jul 2015,Apartment,1,1,1,,,For Sale By Owner (WA)
62,31 Florence Street,"$1,281,000",Feb 2021,$850pw,Mar 2021,House,4,2,1,577,171,Craig Gaspar
63,1103 Hay Street,"$1,950,000",Feb 2021,,,,,,,779,,David Azzopardi
64,76C Carr Street,"$880,000",Feb 2021,,,House,3,2,2,193,149,Simon Pigliardo
65,610/659 Murray Street,"$470,200",Jan 2021,$450pw,Jul 2018,Apartment,2,1,1,102,,
66,41 Cowle Street,"$1,230,000",Jan 2021,,,House,,,,890,,
67,24 Florence Place,"$740,000",Jan 2021,,,Townhouse,,,,187,,Peter Wright
68,1/8 Prowse Street,"$425,000",Jan 2021,$520pw,Jul 2015,Apartment,2,2,2,132,84,Richard Self
69,13/48 Outram Street,"$435,000",Jan 2021,,,Apartment,2,2,1,,,Richard Self
70,34A Cleaver Street,"$780,000",Jan 2021,,,Townhouse,4,3,2,,,Louise Markovic
71,34C Cleaver Street,"$750,000",Jan 2021,,,Townhouse,3,2,2,,,Louise Markovic
72,3/2 Outram Street,"$392,000",Jan 2021,$395pw,Feb 2021,,,,,145,,
73,11/34 Kings Park Road,"$505,000",Jan 2021,,,Apartment,2,2,1,124,90,Richard Self
74,17/161 Charles Street,"$260,000",Jan 2021,$350pw,May 2011,House,2,1,1,"2,233",,
75,189 Fitzgerald Street,"$625,000",Jan 2021,$510pw,Feb 2021,House,3,1,1,322,,James Alessi
76,5/9 Violet Street,"$205,000",Jan 2021,$230pw,Oct 2017,Apartment,1,1,1,,,Joe Raschilla
77,4C/1303 Hay Street,"$615,000",Jan 2021,$600pw,Oct 2020,Apartment,2,2,2,149,,Richard Self
78,46/66 Cleaver Street,"$187,000",Jan 2021,$240pw,Dec 2020,,,,,"3,424",40,James Yeoman
79,10/1 Coolgardie Street,"$360,000",Dec 2020,$500pw,May 2019,,,,,813,70,Alice Yuan
80,379 Bulwer Street,"$767,500",Dec 2020,$500pw,Jan 2021,House,3,1,1,395,,
81,18/15-19 Carr Street,"$375,000",Dec 2020,$390pw,Mar 2020,Apartment,2,2,1,"6,092",83,
82,101/128 Carr Street,"$218,000",Dec 2020,$280pw,Dec 2020,Apartment,2,1,1,56,,Brendon Habak
83,1/227 Vincent Street,"$142,000",Dec 2020,,,Apartment,1,1,1,"7,688",,Brendon Habak
84,40/863 Wellington Street,"$380,000",Dec 2020,$415pw,May 2020,,,,,103,69,
85,34D Cleaver Street,"$770,000",Dec 2020,,,Townhouse,3,2,2,,,Richard Self
86,76/227 Vincent Street,"$170,000",Dec 2020,,,Apartment,,,,,,
87,65/1 Carr Street,"$385,000",Dec 2020,,,,,,,119,86,
88,38/1 Carr Street,"$430,000",Dec 2020,$495pw,Mar 2017,,,,,115,85,
89,189 Vincent Street,"$675,000",Dec 2020,$350pw,Sep 2019,House,3,1,2,402,,Matthew Jones
90,34/1 Douro Place,"$493,000",Dec 2020,,,,,,,124,75,
91,27/1324 Hay Street,"$430,000",Dec 2020,$500pw,Jan 2016,,,,,132,41,
92,7/132 Carr Street,"$567,500",Dec 2020,,,,,,,82,85,Steve Lorrimar
93,25 Kingston Avenue,"$680,000",Dec 2020,$450pw,May 2018,,,,,,,Jade Lippiatt
94,60/6 Campbell Street,"$325,500",Dec 2020,$350pw,Dec 2020,Apartment,1,1,1,,,
95,3/37 Mount Street,"$790,000",Dec 2020,,,Apartment,,,,130,,
96,17/227 Vincent Street,"$142,000",Dec 2020,$200pw,Dec 2018,,,,,"7,674",,
