,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
0,39/128 Mounts Bay Road,"$516,000",Jul 2021,Apartment,,,,157,David Airey,,,
1,32/418 Murray Street,"$325,000",Jul 2021,Apartment,,,,,,,,
2,40/120 Lake Street,"$373,000",Jul 2021,Apartment,2,1,1,"2,495",Sam Dempsey,100,,
3,11/177 Stirling Street,"$450,000",Jul 2021,Apartment,2,2,1,109,Danielle Geagea,70,$465pw,Nov 2016
4,21 Myrtle Street,"$802,000",Jul 2021,Townhouse,3,1,2,104,Annette O'Brien-Oxley,,$590pw,Oct 2018
5,5/19 Lindsay Street,"$590,000",Jul 2021,Apartment,2,2,1,749,Maurice Flores,83,$575pw,Jan 2019
6,8/124 Mounts Bay Road,"$500,000",Jun 2021,Apartment,3,2,1,"1,405",Matt McWaters,120,$690pw,Oct 2018
7,26/14 Money Street,"$815,000",Jun 2021,Apartment,3,2,1,"2,143",,152,$600pw,May 2010
8,104/305 Murray Street,"$245,000",Jun 2021,Apartment,,,,,,,,
9,401/237 Adelaide Terrace,"$365,000",Jun 2021,Apartment,1,1,1,"4,143",,70,,
10,45/34 Palmerston Street,"$585,000",Jun 2021,House,2,2,1,"5,606",ROB STEFANOVSKI,,$580pw,Apr 2014
11,2009/11 Barrack Square,"$1,300,000",Jun 2021,Apartment,,,,,Amy Di Vincenzo,,,
12,25/226 Beaufort Street,"$490,000",Jun 2021,House,2,2,1,"1,603",,81,$460pw,Nov 2019
13,30/69 Milligan Street,"$445,000",Jun 2021,Apartment,2,2,1,105,Josh Roberts,78,$450pw,May 2018
14,11/18 Robinson Avenue,"$620,000",Jun 2021,Townhouse,3,1,1,"2,029",Graeme Correy,133,$475pw,Sep 2019
15,56/378 Beaufort Street,"$362,000",Jun 2021,Apartment,1,1,1,"3,250",Joshua Leader,,$550pw,May 2014
16,172 Lake Street,"$1,050,000",Jun 2021,House,3,2,,198,Daniel Porcaro,,,
17,109/15 Aberdeen Street,"$330,000",Jun 2021,Apartment,1,1,1,"3,028",Cherry Li,,$370pw,Mar 2019
18,17/34 Palmerston Street,"$620,000",Jun 2021,Apartment,2,2,2,"5,596",Nadija Begovich,117,$500pw,Mar 2017
19,47/76 Newcastle Street,"$315,000",Jun 2021,Apartment,1,1,1,"3,356",Dion Brown,60,$335pw,Apr 2017
20,17/34 Bulwer Street,"$300,000",Jun 2021,Apartment,,,,,Josh Roberts,,,
21,1/478 William Street,"$523,000",Jun 2021,,,,,129,,90,$475pw,Jul 2020
22,2701/237 Adelaide Terrace,"$2,700,000",Jun 2021,Apartment,4,5,2,509,,351,"$4,000pw",Aug 2013
23,601/112 Mounts Bay Road,"$475,000",Jun 2021,Apartment,,,,143,Daniel Porcaro,,,
24,73/262 Lord Street,"$399,500",Jun 2021,Apartment,2,2,1,,Veljko Lazovic,,$470pw,Aug 2020
25,48B Randell Street,"$895,000",May 2021,House,,,,128,Peter Menaglio,,,
26,36/10 Pendal Lane,"$480,000",May 2021,Apartment,,,,,,,,
27,10 Pisconeri Street,"$1,308,000",May 2021,House,4,2,3,296,Daniel Porcaro,,$700pw,Apr 2018
28,2801/237 Adelaide Terrace,"$2,650,000",May 2021,Apartment,4,5,4,"4,143",,351,,
29,392 Beaufort Street,"$1,000,000",May 2021,House,3,2,5,385,Ray Cafini,,,
30,61 Lindsay Street,"$1,310,000",May 2021,House,,,,,,,,
31,30/918 Hay Street,"$465,000",May 2021,Apartment,2,2,1,145,Brendon Habak,145,,
32,51/229 Adelaide Terrace,"$1,105,000",May 2021,Apartment,,,,,,,,
33,13/118 Mounts Bay Road,"$390,000",May 2021,Apartment,2,1,1,136,Brendon Habak,104,,
