,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
0,Crawley,2013,8,3,2.3333333333333335,2.3333333333333335,1.6666666666666667,270.6666666666667,219.33333333333334,1973.6666666666667,1660333.3333333333,0,0,0,0,1,0
1,Crawley,2013,9,4,2.0,1.5,1.5,123.25,117.5,1966.25,787250.0,0,0,0,0,1,0
2,Crawley,2013,10,6,3.0,1.6666666666666667,1.6666666666666667,233.5,139.83333333333334,1986.5,1191416.6666666667,0,0,0,0,1,0
3,Crawley,2013,11,2,2.5,1.5,2.0,205.0,161.5,1985.0,838500.0,0,0,0,0,1,0
4,Crawley,2013,12,4,2.0,1.25,1.25,88.25,88.75,1967.75,612000.0,0,0,0,0,1,0
5,Crawley,2014,1,3,3.0,1.6666666666666667,1.6666666666666667,382.6666666666667,157.66666666666666,1974.6666666666667,1651666.6666666667,0,0,0,0,1,0
6,Crawley,2014,2,7,2.2857142857142856,1.4285714285714286,1.5714285714285714,143.0,110.42857142857143,1987.4285714285713,986142.8571428572,0,0,0,0,1,0
7,Crawley,2014,3,8,1.75,1.0,1.375,100.375,77.75,1973.5,538125.0,0,0,0,0,1,0
8,Crawley,2014,4,1,2.0,1.0,1.0,64.0,64.0,1965.0,480000.0,0,0,0,0,1,0
9,Crawley,2014,5,3,3.3333333333333335,2.3333333333333335,2.0,403.6666666666667,219.0,1991.0,1361666.6666666667,0,0,0,0,1,0
10,Crawley,2014,6,4,2.0,1.25,1.25,145.25,107.25,1983.75,805500.0,0,0,0,0,1,0
11,Crawley,2014,7,1,3.0,1.0,1.0,607.0,118.0,1926.0,1500000.0,0,0,0,0,1,0
12,Crawley,2014,8,4,2.25,1.5,1.5,103.75,103.0,1972.5,775500.0,0,0,0,0,1,0
13,Crawley,2014,9,6,2.3333333333333335,1.5,1.0,128.0,125.83333333333333,1975.8333333333333,714166.6666666666,0,0,0,0,1,0
14,Crawley,2014,10,7,2.2857142857142856,1.5714285714285714,1.5714285714285714,126.0,122.71428571428571,1971.0,1121428.5714285714,0,0,0,0,1,0
15,Crawley,2014,11,7,1.7142857142857142,1.1428571428571428,1.1428571428571428,143.0,74.71428571428571,1959.0,593857.1428571428,0,0,0,0,1,0
16,Crawley,2014,12,3,3.0,2.0,1.6666666666666667,156.66666666666666,132.0,1988.0,829333.3333333334,0,0,0,0,1,0
17,Crawley,2015,1,1,1.0,1.0,3.0,50.0,58.0,1958.0,395000.0,0,0,0,0,1,0
18,Crawley,2015,2,4,2.25,1.25,1.5,109.5,113.5,1968.25,768750.0,0,0,0,0,1,0
19,Crawley,2015,3,11,2.5454545454545454,1.6363636363636365,2.1818181818181817,149.0,131.0,1980.4545454545455,1065705.4545454546,0,0,0,0,1,0
20,Crawley,2015,4,6,2.8333333333333335,1.8333333333333333,1.8333333333333333,297.1666666666667,152.16666666666666,1979.3333333333333,1577583.3333333333,0,0,0,0,1,0
21,Crawley,2015,5,5,2.2,1.6,1.4,186.8,124.6,1971.4,995000.0,0,0,0,0,1,0
22,Crawley,2015,6,2,3.0,1.0,1.5,129.0,118.5,1976.5,935000.0,0,0,0,0,1,0
23,Crawley,2015,7,2,3.0,1.0,2.0,175.0,175.0,1983.0,1382500.0,0,0,0,0,1,0
24,Crawley,2015,8,5,2.0,1.2,1.2,134.2,116.4,1967.0,642000.0,0,0,0,0,1,0
25,Crawley,2015,9,2,2.5,1.5,1.5,129.5,129.5,1982.0,835000.0,0,0,0,0,1,0
26,Crawley,2015,10,1,3.0,1.0,2.0,202.0,147.0,1969.0,1050000.0,0,0,0,0,1,0
27,Crawley,2015,11,3,2.6666666666666665,1.6666666666666667,1.6666666666666667,209.33333333333334,136.33333333333334,1981.6666666666667,1275000.0,0,0,0,0,1,0
28,Crawley,2015,12,3,3.0,2.0,1.6666666666666667,223.0,169.66666666666666,2001.6666666666667,1553333.3333333333,0,0,0,0,1,0
29,Crawley,2016,2,2,3.0,2.0,2.0,161.5,159.5,1981.0,1142500.0,0,0,0,0,1,0
30,Crawley,2016,3,6,2.5,1.3333333333333333,1.8333333333333333,133.66666666666666,116.0,1970.1666666666667,750000.0,0,0,0,0,1,0
31,Crawley,2016,4,3,1.6666666666666667,1.3333333333333333,1.0,102.33333333333333,90.0,1962.3333333333333,531000.0,0,0,0,0,1,0
32,Crawley,2016,5,1,1.0,1.0,1.0,52.0,54.0,1961.0,295000.0,0,0,0,0,1,0
33,Crawley,2016,6,3,3.0,2.3333333333333335,2.6666666666666665,255.33333333333334,246.0,1979.6666666666667,2306666.6666666665,0,0,0,0,1,0
34,Crawley,2016,7,4,2.0,1.5,1.75,1047.25,101.0,2004.5,677625.0,0,0,0,0,1,0
35,Crawley,2016,8,3,1.6666666666666667,1.3333333333333333,1.6666666666666667,90.66666666666667,90.0,1969.0,716333.3333333334,0,0,0,0,1,0
36,Crawley,2016,9,2,2.5,1.0,1.0,210.0,125.0,1954.5,640000.0,0,0,0,0,1,0
37,Crawley,2016,10,1,2.0,1.0,2.0,145.0,145.0,1972.0,945000.0,0,0,0,0,1,0
38,Crawley,2016,11,3,2.3333333333333335,1.0,1.3333333333333333,101.66666666666667,91.66666666666667,1974.6666666666667,518333.3333333333,0,0,0,0,1,0
39,Crawley,2016,12,3,2.3333333333333335,1.3333333333333333,1.0,110.66666666666667,102.33333333333333,1985.3333333333333,660000.0,0,0,0,0,1,0
40,Crawley,2017,1,2,3.0,1.5,2.0,232.0,230.5,1985.0,1995000.0,0,0,0,0,1,0
41,Crawley,2017,2,5,2.8,1.8,1.8,166.4,141.4,1980.0,926000.0,0,0,0,0,1,0
42,Crawley,2017,3,6,2.0,1.3333333333333333,1.1666666666666667,119.66666666666667,91.66666666666667,1989.8333333333333,705833.3333333334,0,0,0,0,1,0
43,Crawley,2017,4,3,2.6666666666666665,2.0,1.6666666666666667,224.66666666666666,157.0,1977.3333333333333,1113333.3333333333,0,0,0,0,1,0
44,Crawley,2017,5,5,2.4,1.0,1.0,81.0,84.2,1973.0,497000.0,0,0,0,0,1,0
45,Crawley,2017,6,2,2.5,2.0,2.0,182.5,135.5,1983.5,1112500.0,0,0,0,0,1,0
