address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
73 Fairway,Crawley,WA,6009,73 Fairway Crawley WA 6009,"$1,180,000",Jun-21,House,2,1,2,607,131,1939,$550pw,Aug-21,Jack Bradshaw,-31.9821596,115.8153668
69 Fairway,Crawley,WA,6009,69 Fairway Crawley WA 6009,"$1,225,000",Jun-21,House,2,1,2,607,,1926,$500pw,Aug-21,Brian Neo,-31.9818697,115.8153668
65 Fairway,Crawley,WA,6009,65 Fairway Crawley WA 6009,"$1,225,000",Jun-21,House,2,1,2,607,77,1921,$310pw,Jun-08,Jack Bradshaw,-31.9817455,115.8153668
57 Fairway,Crawley,WA,6009,57 Fairway Crawley WA 6009,"$1,650,000",Jun-21,Apartment,10,4,6,607,81,1965,$167pw,Oct-15,Jack Bradshaw,-31.98118,115.8153
55 Fairway,Crawley,WA,6009,55 Fairway Crawley WA 6009,"$1,275,000",Jun-21,House,3,2,2,607,164,1948,0,0,Brian Neo,-31.9810515,115.8153206
15 The Avenue,Crawley,WA,6009,15 The Avenue Crawley WA 6009,"$3,650,000",Jun-21,Apartment,2,1,1,"1,012",,,$230pw,Aug-20,Mark Hay,-31.9874563,115.8163374
150 Fairway,Crawley,WA,6009,150 Fairway Crawley WA 6009,"$3,500,000",Jun-21,Apartment,1,1,1,809,,1964,$220pw,Dec-19,Mark Hay,-31.9871338,115.8161063
6/9-11 Wingfield Avenue,Crawley,WA,6009,6/9-11 Wingfield Avenue Crawley WA 6009,"$920,000",Jun-21,House,3,2,3,154,148,1972,0,0,Michelle Kerr,-31.97265,115.82405
42/3 Park Avenue,Crawley,WA,6009,42/3 Park Avenue Crawley WA 6009,"$1,275,000",May-21,Apartment,3,2,2,"6,588",174,1983,"$1,100pw",Mar-14,Richard Self,-31.9716501,115.8253265
15/22 The Avenue,Crawley,WA,6009,15/22 The Avenue Crawley WA 6009,"$1,455,000",May-21,Apartment,3,2,2,"4,524",169,1981,$785pw,May-16,not recorded,-31.98849,115.81646
1/3 Wingfield Avenue,Crawley,WA,6009,1/3 Wingfield Avenue Crawley WA 6009,"$1,040,000",Apr-21,Apartment,3,1,2,204,155,1982,$650pw,Oct-15,Annie McCarthy,-31.97325,115.8245
7/131 Fairway,Crawley,WA,6009,7/131 Fairway Crawley WA 6009,"$860,000",Apr-21,House,3,2,2,159,130,2000,$670pw,Feb-21,Michelle Kerr,-31.9854781,115.8154361
