Date,Average outstanding variable rate,Owner-occupier; Principal & Interest,Owner-occupier; Interest Only,Investor; Principal & Interest,Investor; Interest Only
1/06/2015,4.68,4.74,4.61,4.69,4.57
1/07/2015,4.68,4.73,4.6,4.7,4.56
1/08/2015,4.72,4.73,4.61,4.81,4.68
1/09/2015,4.74,4.73,4.65,4.83,4.77
1/10/2015,4.73,4.71,4.64,4.83,4.76
1/11/2015,4.88,4.86,4.8,4.98,4.93
1/12/2015,4.88,4.86,4.79,4.98,4.92
1/01/2016,4.88,4.85,4.79,4.98,4.92
1/02/2016,4.87,4.85,4.78,4.98,4.92
1/03/2016,4.87,4.85,4.77,4.97,4.91
1/04/2016,4.85,4.83,4.75,4.98,4.9
1/05/2016,4.62,4.6,4.52,4.75,4.67
1/06/2016,4.61,4.59,4.51,4.74,4.66
1/07/2016,4.6,4.57,4.49,4.73,4.65
1/08/2016,4.47,4.45,4.38,4.61,4.53
1/09/2016,4.46,4.44,4.37,4.6,4.52
1/10/2016,4.46,4.43,4.36,4.59,4.51
1/11/2016,4.44,4.42,4.34,4.57,4.5
1/12/2016,4.47,4.42,4.37,4.63,4.57
1/01/2017,4.47,4.43,4.37,4.63,4.58
1/02/2017,4.46,4.41,4.36,4.62,4.56
1/03/2017,4.5,4.41,4.4,4.69,4.67
1/04/2017,4.51,4.41,4.41,4.73,4.73
1/05/2017,4.55,4.41,4.47,4.79,4.81
1/06/2017,4.56,4.37,4.58,4.77,4.94
1/07/2017,4.58,4.35,4.69,4.77,5.04
1/08/2017,4.59,4.34,4.76,4.77,5.11
1/09/2017,4.58,4.32,4.76,4.75,5.11
1/10/2017,4.57,4.31,4.75,4.75,5.12
1/11/2017,4.56,4.3,4.75,4.74,5.11
1/12/2017,4.53,4.28,4.74,4.73,5.11
1/01/2018,4.52,4.27,4.73,4.72,5.1
1/02/2018,4.51,4.27,4.73,4.71,5.09
1/03/2018,4.5,4.26,4.72,4.7,5.08
1/04/2018,4.49,4.25,4.72,4.7,5.07
1/05/2018,4.48,4.24,4.71,4.68,5.07
1/06/2018,4.47,4.23,4.71,4.68,5.06
1/07/2018,4.47,4.23,4.72,4.67,5.06
1/08/2018,4.46,4.23,4.71,4.67,5.06
1/09/2018,4.52,4.28,4.78,4.73,5.13
1/10/2018,4.54,4.31,4.8,4.75,5.15
1/11/2018,4.52,4.3,4.79,4.73,5.14
1/12/2018,4.56,4.27,4.79,4.71,5.13
1/01/2019,4.56,4.27,4.79,4.71,5.12
1/02/2019,4.55,4.26,4.77,4.71,5.11
1/03/2019,4.54,4.25,4.77,4.7,5.11
1/04/2019,4.52,4.24,4.77,4.68,5.1
1/05/2019,4.51,4.23,4.76,4.68,5.09
1/06/2019,4.27,4,4.52,4.45,4.82
1/07/2019,4.06,3.8,4.31,4.25,4.58
1/08/2019,4.04,3.78,4.28,4.23,4.56
1/09/2019,4.02,3.77,4.27,4.21,4.54
1/10/2019,3.86,3.62,4.14,4.06,4.34
1/11/2019,3.85,3.61,4.13,4.05,4.32
1/12/2019,3.64,3.57,4.25,4.27,3.88
1/01/2020,3.63,3.56,4.25,4.26,3.87
1/02/2020,3.6,3.53,4.23,4.23,3.84
1/03/2020,3.36,3.3,4.01,4.02,3.62
1/04/2020,3.3,3.25,3.94,3.57,3.96
1/05/2020,3.27,3.22,3.92,3.53,3.93
1/06/2020,3.23,3.18,3.92,3.49,3.88
1/07/2020,3.2,3.15,3.89,3.44,3.84
1/08/2020,3.21,3.12,3.88,3.43,3.8
1/09/2020,3.2,3.09,3.86,3.39,3.77
1/10/2020,3.18,3.07,3.83,3.36,3.73
1/11/2020,3.17,3.03,3.81,3.32,3.7
1/12/2020,3.15,2.99,3.79,3.29,3.66
1/01/2021,3.14,2.96,3.77,3.26,3.63
1/03/2021,3.11,2.89,3.72,3.18,3.55
