address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
6/11 Shenton Street,Northbridge,WA,6003,6/11 Shenton Street Northbridge WA 6003,"$440,000",Jul-21,Apartment,2,1,1,108,84,1996,$475pw,Dec-17,Claude Iaconi,-31.9461075,115.8545101
4/335 Newcastle Street,Northbridge,WA,6003,4/335 Newcastle Street Northbridge WA 6003,"$320,000",May-21,Apartment,1,1,1,82,56,2008,$300pw,Sep-16,not recorded,-31.9439185,115.8554343
2/89 Aberdeen Street,Northbridge,WA,6003,2/89 Aberdeen Street Northbridge WA 6003,"$379,000",May-21,Apartment,2,1,1,99,67,2016,$380pw,Aug-19,Brendon Habak,-31.9468518,115.8587809
2/2 Davies Street,Northbridge,WA,6003,2/2 Davies Street Northbridge WA 6003,"$333,000",May-21,Unit,1,1,1,83,58,2006,$330pw,Nov-18,Arash Kalani,-31.9440228,115.8557109
39/258-264 Newcastle,Northbridge,WA,6003,39/258-264 Newcastle Northbridge WA 6003,"$526,350",May-21,Apartment,2,2,2,173,124,2005,0,0,not recorded,-31.9449864,115.8589406
43 John Street,Northbridge,WA,6003,43 John Street Northbridge WA 6003,"$620,000",May-21,Townhouse,2,2,1,174,116,1996,0,0,Claude Iaconi,-31.9452194,115.853374
26/103-105 Francis Street,Northbridge,WA,6003,26/103-105 Francis Street Northbridge WA 6003,"$449,000",Apr-21,Apartment,2,1,1,113,56,2009,$495pw,Oct-16,James Yeoman,-31.9469101,115.8565863
29/89 Aberdeen Street,Northbridge,WA,6003,29/89 Aberdeen Street Northbridge WA 6003,"$320,000",Apr-21,Apartment,1,1,1,57,40,2016,$350pw,May-19,Brendan Smith,-31.9468518,115.8587809
6/103-105 Francis Street,Northbridge,WA,6003,6/103-105 Francis Street Northbridge WA 6003,"$310,000",Apr-21,Apartment,1,2,1,82,54,2009,$310pw,Jan-18,not recorded,-31.9469101,115.8565863
16/19 Little Shenton Lane,Northbridge,WA,6003,16/19 Little Shenton Lane Northbridge WA 6003,"$385,000",Apr-21,Unit,2,1,0,108,83,1996,$380pw,Mar-20,not recorded,-31.9456456,115.853406
13/19 Little Shenton Lane,Northbridge,WA,6003,13/19 Little Shenton Lane Northbridge WA 6003,"$410,000",Apr-21,Apartment,2,1,1,137,86,1996,$360pw,Sep-19,not recorded,-31.9456456,115.853406
2/5 Antonas Road,Northbridge,WA,6003,2/5 Antonas Road Northbridge WA 6003,"$210,000",Apr-21,Apartment,2,2,1,95,60,2010,0,0,Brad Triplett,-31.9440299,115.8548295
2/9 Shenton Street,Northbridge,WA,6003,2/9 Shenton Street Northbridge WA 6003,"$448,000",Jan-21,Apartment,2,1,1,124,82,1996,$390pw,Sep-18,not recorded,-31.9462105,115.8544176
16 Kakulas Crescent,Northbridge,WA,6003,16 Kakulas Crescent Northbridge WA 6003,"$1,250,000",Jan-21,House,3,2,2,246,250,2005,0,0,Claude Iaconi,-31.9452293,115.8576097
15a/120-122 Lake Street,Northbridge,WA,6003,15a/120-122 Lake Street Northbridge WA 6003,"$360,000",Dec-20,Apartment,2,1,1,,,,0,0,not recorded,-31.9447634,115.8592993
1/52 Fitzgerald Street,Northbridge,WA,6003,1/52 Fitzgerald Street Northbridge WA 6003,"$360,000",Nov-20,Unit,2,1,1,123,84,1996,$360pw,Sep-19,not recorded,-31.94553,115.85301
8/103 Francis Street,Northbridge,WA,6003,8/103 Francis Street Northbridge WA 6003,"$380,000",Nov-20,Apartment,2,2,1,105,78,2009,$550pw,Jun-15,not recorded,-31.94691,115.85659
