address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
10/2 Mayfair Street,West Perth,WA,6005,10/2 Mayfair Street West Perth WA 6005,"$410,000",Aug-21,Apartment,2,2,1,102,81,2001,$400pw,Jun-19,not recorded,-31.94858,115.84352
42/33 MALCOLM STREET,West Perth,WA,6005,42/33 MALCOLM STREET West Perth WA 6005,"$1,050,000",Jul-21,House,3,2,2,158,140,2010,"$1,200pw",Feb-19,not recorded,-31.9534429,115.8473896
6/16 Carr Street,West Perth,WA,6005,6/16 Carr Street West Perth WA 6005,"$550,000",Jul-21,Townhouse,3,2,2,190,107,1990,0,0,Ashby Farrell,-31.9405829,115.854431
11/875 Wellington Street,West Perth,WA,6005,11/875 Wellington Street West Perth WA 6005,"$110,000",Jul-21,Apartment,1,1,0,34,34,1985,0,0,Daniel Porcaro,-31.947954,115.8463075
6/1 Carr Street,West Perth,WA,6005,6/1 Carr Street West Perth WA 6005,"$442,000",Jul-21,Apartment,3,1,1,156,88,1998,$575pw,Mar-21,Annette O'Brien-Oxley,-31.9415034,115.8542559
1607/659 Murray,West Perth,WA,6005,1607/659 Murray West Perth WA 6005,"$610,000",Jul-21,Apartment,2,2,1,111,74,2018,0,0,Ian Fatharly,-31.9488032,115.845545
2/60 Cleaver Street,West Perth,WA,6005,2/60 Cleaver Street West Perth WA 6005,"$510,000",Jul-21,Apartment,3,1,2,183,119,1992,$420pw,Jan-19,Peter Hall,-31.93774,115.84964
5/132 Carr Street,West Perth,WA,6005,5/132 Carr Street West Perth WA 6005,"$480,000",Jul-21,Apartment,2,1,1,77,72,1976,0,0,not recorded,-31.9374486,115.8481907
11/129 Carr Street,West Perth,WA,6005,11/129 Carr Street West Perth WA 6005,"$420,000",Jul-21,Townhouse,2,1,1,156,82,1991,0,0,not recorded,-31.9384198,115.8482484
5/146 Carr Street,West Perth,WA,6005,5/146 Carr Street West Perth WA 6005,"$430,000",Jul-21,Apartment,3,1,1,101,83,1995,$390pw,Nov-18,not recorded,-31.9373336,115.8476246
