,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
0,73 Fairway,"$1,180,000",Jun 2021,House,2,1,2,Jack Bradshaw,,,,
1,69 Fairway,"$1,225,000",Jun 2021,House,2,1,2,Brian Neo,,,,
2,65 Fairway,"$1,225,000",Jun 2021,House,2,1,,Jack Bradshaw,$310pw,Jun 2008,607,
3,57 Fairway,"$1,650,000",Jun 2021,,,,,Jack Bradshaw,,,607,
4,55 Fairway,"$1,275,000",Jun 2021,House,3,2,2,Brian Neo,,,607,
5,15 The Avenue,"$3,650,000",Jun 2021,Apartment,2,1,1,Mark Hay,,,"1,012",
6,150 Fairway,"$3,500,000",Jun 2021,,,,,Mark Hay,,,809,
7,6/9-11 Wingfield Avenue,"$920,000",Jun 2021,House,3,2,3,Michelle Kerr,,,154,148
8,42/3 Park Avenue,"$1,275,000",May 2021,Apartment,3,2,2,Richard Self,"$1,100pw",Mar 2014,"6,588",174
9,15/22 The Avenue,"$1,455,000",May 2021,Apartment,3,2,2,,$785pw,May 2016,"4,524",169
10,1/3 Wingfield Avenue,"$1,040,000",Apr 2021,Apartment,,,,Annie McCarthy,,,204,
11,7/131 Fairway,"$860,000",Apr 2021,House,3,2,2,Michelle Kerr,$670pw,Feb 2021,"1,882",
12,1/16 The Avenue,"$4,000,000",Mar 2021,Apartment,3,3,4,Peter Robertson,,,310,
13,5/20 Park Road,"$639,000",Mar 2021,Townhouse,2,1,1,Belinda Airey,$500pw,Nov 2010,86,90
14,7/28 The Avenue,"$422,000",Feb 2021,Apartment,2,1,2,,$315pw,May 2019,"1,030",67
15,27/70-72 Broadway,"$320,000",Feb 2021,Apartment,1,1,1,Minrong Lan,,,,
16,3/64 Broadway,"$485,000",Jan 2021,,,,,David Azzopardi,$500pw,Jan 2021,131,100
17,12/9 Everett Street,"$395,000",Jan 2021,,,,,,$215pw,Aug 2004,109,90
18,2/15 COOK STREET,"$635,000",Jan 2021,House,3,1,1,Peter Zambotti,$750pw,Mar 2012,"1,366",118
19,4/22 Caporn Street,"$360,000",Dec 2020,,,,,,$345pw,Dec 2016,683,
20,G04/173 Mounts Bay Road,"$2,000,000",Dec 2020,Apartment,,,,,,,271,
21,6/82 Broadway,"$249,000",Dec 2020,,,,,,,,,
22,12E/16 Kings Park Avenue,"$1,200,000",Nov 2020,House,3,2,2,,,,190,
23,9.1/4 Crawley Avenue,"$755,000",Oct 2020,Apartment,3,2,2,Peter & Ali - Turner & Moore Team,$595pw,Dec 2016,202,
24,118 Broadway,"$1,825,000",Oct 2020,,,,,David Azzopardi,,,880,
25,7/8 Wingfield Avenue,"$650,000",Oct 2020,Apartment,3,2,2,,$650pw,Jan 2021,123,
26,1/16 Caporn Street,"$475,000",Oct 2020,,,,,,$500pw,Jul 2015,"2,049",73
27,10/159 Fairway,"$270,000",Sep 2020,,,,,,$250pw,Sep 2020,,
