,address,agent,bathrooms,bedrooms,building_size,built_date,car_space,full_address,land_size,lat,lng,postcode,price,property_type,rent,rent_date,sale_id,sold_date,state,suburb,perth,east_perth,west_perth,northbridge,crawley,nedlands
1,1/10 Wright Street,not recorded,1,2,62,1979,1,1/10 Wright Street Perth WA 6000,62,-31.940382399999997,115.8737132,6000,355000,Townhouse,340,2018-10,2,2020,WA,Perth,1,0,0,0,0,0
6,10 Pisconeri Street,Daniel Porcaro,2,4,289,2008,3,10 Pisconeri Street Perth WA 6000,302,-31.9485212,115.86750020000001,6000,1308000,House,700,2018-04,7,2021,WA,Perth,1,0,0,0,0,0
7,10 Robinson Avenue,Claude Iaconi,2,2,174,1995,2,10 Robinson Avenue Perth WA 6000,241,-31.9442908,115.8642977,6000,880000,House,550,2018-10,8,2020,WA,Perth,1,0,0,0,0,0
8,10/10 Wright Street,not recorded,1,2,62,1979,1,10/10 Wright Street Perth WA 6000,62,-31.9439724,115.87193090000001,6000,447500,Townhouse,460,2013-06,9,2020,WA,Perth,1,0,0,0,0,0
21,11 Lindsay Street,Meryl Carter,2,3,155,2010,2,11 Lindsay Street Perth WA 6000,240,-31.946328,115.86301270000001,6000,1100000,House,780,2021-01,22,2021,WA,Perth,1,0,0,0,0,0
23,11/18 Robinson Avenue,Graeme Correy,1,3,139,2002,1,11/18 Robinson Avenue Perth WA 6000,201,-31.944274600000004,115.8638426,6000,620000,Townhouse,475,2019-09,24,2021,WA,Perth,1,0,0,0,0,0
30,119 Summers Street,not recorded,1,3,125,1900,0,119 Summers Street Perth WA 6000,506,-31.945323899999998,115.8744723,6000,830000,House,0,1900-01,31,2020,WA,Perth,1,0,0,0,0,0
31,12 Lane Street,not recorded,1,3,334,1930,2,12 Lane Street Perth WA 6000,351,-31.942709899999997,115.86448670000001,6000,780000,House,480,2014-08,32,2020,WA,Perth,1,0,0,0,0,0
32,12 Wade Street,Annie Kowal,2,4,136,1996,2,12 Wade Street Perth WA 6000,152,-31.9424538,115.86392859999998,6000,680000,Townhouse,625,2015-12,33,2021,WA,Perth,1,0,0,0,0,0
39,123 Glendower Street,Matt Seabrook,2,4,161,1900,2,123 Glendower Street Perth WA 6000,278,-31.93808,115.85876,6000,975000,House,0,1900-01,40,2020,WA,Perth,1,0,0,0,0,0
45,14 Hope Street,Nadija Begovich,1,2,131,1930,2,14 Hope Street Perth WA 6000,409,-31.9419271,115.8593044,6000,790000,House,0,1900-01,46,2020,WA,Perth,1,0,0,0,0,0
49,14/180 Stirling Street,not recorded,1,1,48,2013,1,14/180 Stirling Street Perth WA 6000,81,-31.9470657,115.8661848,6000,335000,House,360,2020-08,50,2021,WA,Perth,1,0,0,0,0,0
53,15/114 Terrace Road,Davide Palermo,1,1,54,1945,0,15/114 Terrace Road Perth WA 6000,54,-31.959761999999998,115.8673101,6000,210000,Villa,250,2016-09,54,2021,WA,Perth,1,0,0,0,0,0
56,1-5/55 Gladstone Street,not recorded,1,1,80,1999,1,1-5/55 Gladstone Street Perth WA 6000,110,-31.9467168,115.87206950000001,6000,1220000,House,0,1900-01,57,2020,WA,Perth,1,0,0,0,0,0
60,154A Lake Street,not recorded,2,3,125,1995,2,154A Lake Street Perth WA 6000,190,-31.943762699999997,115.85954890000001,6000,712500,House,595,2017-04,61,2020,WA,Perth,1,0,0,0,0,0
64,16 Hope Street,Nadija Begovich,1,3,129,1930,2,16 Hope Street Perth WA 6000,403,-31.94166,115.8589,6000,845000,House,380,2009-08,65,2020,WA,Perth,1,0,0,0,0,0
65,16 Robinson Avenue,not recorded,2,3,116,1993,2,16 Robinson Avenue Perth WA 6000,305,-31.9442642,115.8640398,6000,760000,House,768,2017-01,66,2020,WA,Perth,1,0,0,0,0,0
71,166 Lake Street,Daniel Porcaro,2,3,188,1897,1,166 Lake Street Perth WA 6000,197,-31.9433325,115.85996019999999,6000,1000000,House,0,1900-01,72,2020,WA,Perth,1,0,0,0,0,0
72,167 Lake Street,not recorded,2,5,309,1902,1,167 Lake Street Perth WA 6000,369,-31.9429874,115.8595106,6000,1825000,House,0,1900-01,73,2020,WA,Perth,1,0,0,0,0,0
76,172 Lake Street,Daniel Porcaro,2,3,208,1897,0,172 Lake Street Perth WA 6000,195,-31.9431637,115.8599975,6000,1050000,House,0,1900-01,77,2021,WA,Perth,1,0,0,0,0,0
77,18 Church Street,Shaun Pratt,1,2,101,1920,1,18 Church Street Perth WA 6000,176,-31.9434635,115.85833400000001,6000,890000,House,590,2021-05,78,2021,WA,Perth,1,0,0,0,0,0
88,19/65 Palmerston Street,not recorded,2,3,118,2000,2,19/65 Palmerston Street Perth WA 6000,378,-31.943116600000003,115.8571209,6000,575000,Townhouse,480,2018-11,89,2020,WA,Perth,1,0,0,0,0,0
91,193 Lake Street,not recorded,1,3,90,1920,0,193 Lake Street Perth WA 6000,273,-31.9422,115.86,6000,820000,House,0,1900-01,92,2020,WA,Perth,1,0,0,0,0,0
