,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
0,9/21 Northwood Street,"$680,000",Aug 2021,Apartment,,,,143,Craig Gaspar,,,
1,4/32 Cambridge Street,"$237,000",Jul 2021,Apartment,1,1,1,"4,059",Emma Taylor 0421331468,,,
2,8/3 Rosslyn Street,"$1,020,000",Jul 2021,Apartment,3,2,1,646,Ivan Helman,$900pw,Jun 2014,121
3,71A Tate Street,"$750,000",Jul 2021,,,,,,Craig Gaspar,,,
4,19 Caddy Avenue,"$945,000",Jul 2021,House,,,,359,,,,
5,2a Joseph Street,"$1,060,000",Jul 2021,House,4,2,1,355,Craig Gaspar,,,147
6,7 Nicholson Street,"$800,000",Jul 2021,House,2,1,,304,,$400pw,Jan 2011,
7,214 Railway Parade,"$1,045,000",Jun 2021,House,3,1,2,465,Craig Gaspar,$550pw,Oct 2018,169
8,15 Rosmunde Court,"$1,625,000",Jun 2021,House,,,,740,,,,
9,4/47 Cambridge Street,"$605,000",May 2021,,,,,"1,619",,$450pw,Nov 2016,100
10,78 Woolwich Street,"$1,270,000",May 2021,House,4,1,1,315,Craig Gaspar,,,
11,3/71 Cambridge Street,"$635,750",Apr 2021,Townhouse,3,1,2,"1,620",Ivan Helman,$595pw,Feb 2020,
12,84B Woolwich Street,"$1,472,000",Apr 2021,House,,,,243,Craig Gaspar,"$1,350pw",May 2021,
13,30/21 Northwood Street,"$380,000",Apr 2021,Apartment,,,,64,Craig Gaspar,,,
14,45/110 Cambridge Street,"$435,000",Mar 2021,Apartment,1,1,1,93,Craig Gaspar,$420pw,Nov 2019,
15,143 Tower Street,"$945,000",Mar 2021,House,2,,,324,Michelle McGill,,,
16,17 Holyrood Street,"$1,300,000",Mar 2021,House,3,1,,411,Libby Bridge,,,134
17,7/17 Lake Monger Drive,"$730,000",Mar 2021,Townhouse,3,2,1,255,Ivan Helman,$650pw,Oct 2013,155
18,50/50 Cambridge Street,"$315,000",Mar 2021,Apartment,2,1,1,"4,048",,$330pw,Feb 2019,
19,18 Blencowe Street,"$1,000,000",Feb 2021,House,3,1,,325,Craig Gaspar,$525pw,Mar 2021,
20,13B Joseph Street,"$858,000",Feb 2021,House,,,,,Ivan Helman,,,
21,190 Railway Parade,"$239,000",Feb 2021,Apartment,,,,,Zero Commission Australia,,,
22,12/29-33 Cambridge Street,"$350,000",Feb 2021,Apartment,2,1,1,69,Louise Simonette,,,69
23,4/31 Connaught Street,"$550,000",Feb 2021,Apartment,2,2,2,,,$500pw,Nov 2019,
24,116C Kimberley Street,"$1,100,000",Feb 2021,House,4,3,,365,David Brewer,"$1,000pw",Nov 2020,186
25,10/75 Cambridge Street,"$210,000",Jan 2021,,,,,"1,620",Max Denn,$300pw,Jan 2021,
26,98/172 Railway Parade,"$500,000",Jan 2021,Apartment,,,,,,,,
27,14/37 Cambridge Street,"$185,000",Jan 2021,,,,,"1,000",,$280pw,Jul 2016,
28,132B Cambridge Street,"$585,000",Jan 2021,Townhouse,2,2,2,379,Ray Jennings,$450pw,Apr 2017,112
29,134A Cambridge Street,"$595,000",Jan 2021,,,,,209,Ray Jennings,,,
30,82 Woolwich Street,"$1,180,000",Jan 2021,House,3,1,2,243,Craig Gaspar,$680pw,Dec 2014,147
31,28-30 CAMBRIDGE STREET,"$2,250,000",Jan 2021,House,4,2,2,809,Vangelis Katsaitis,,,
32,107/85 Cambridge Street,"$560,000",Jan 2021,Apartment,3,2,2,86,Gino de Mori,$550pw,Sep 2019,
33,32 Ruislip Street,"$1,420,000",Dec 2020,House,3,,,446,,,,
34,114/172 Railway Parade,"$505,000",Dec 2020,Apartment,,,,,,,,
35,106/172 Railway Parade,"$500,000",Dec 2020,Apartment,,,,,,,,
36,188 Railway Parade,"$935,000",Dec 2020,House,4,1,4,433,Ingrid Bradshaw,$640pw,Jun 2019,
37,429 Vincent Street West,"$1,380,000",Dec 2020,House,4,2,2,267,,,,
38,132 St Leonards Avenue,"$1,595,000",Dec 2020,,,,,375,,,,125
39,6 Barrington Street,"$1,066,000",Dec 2020,House,3,2,2,232,,,,
40,42A Joseph Street,"$1,010,000",Nov 2020,House,3,1,,380,Michelle McGill,$550pw,May 2016,
41,120a St Leonards Avenue,"$933,000",Nov 2020,,,,,267,,,,144
42,29 Antrim Street,"$740,000",Nov 2020,House,3,1,2,304,Ivan Helman,,,
43,122/172 Railway Parade,"$490,000",Nov 2020,Apartment,,,,,,,,
44,90a Woolwich Street,"$488,000",Nov 2020,,,,,188,,,,
45,137/172 Railway Parade,"$525,000",Oct 2020,Apartment,,,,,,,,
46,68 Woolwich Street,"$1,255,000",Oct 2020,House,3,1,1,361,Craig Gaspar,,,
47,104 Tate Street,"$1,900,000",Oct 2020,House,4,3,2,613,,,,
48,44/190-192 Railway Parade,"$255,000",Oct 2020,Apartment,2,1,1,,,,,
49,94 Tate Street,"$1,550,000",Oct 2020,House,3,1,,613,,,,
50,107 Tower Street,"$595,000",Oct 2020,,,,,,,$450pw,Apr 2011,
51,413 Vincent Street West,"$1,235,000",Oct 2020,House,,,,645,,,,
52,50/172 Railway Parade,"$495,000",Sep 2020,Apartment,,,,,,,,
53,7 Glen Street,"$930,000",Sep 2020,House,4,1,,314,,,,
54,125b St Leonards Avenue,"$1,585,000",Sep 2020,House,4,2,2,335,,,,294
55,96 Kimberley Street,"$1,510,000",Sep 2020,House,3,1,,416,,$510pw,Oct 2009,295
56,18 Kerr Street,"$661,000",Sep 2020,House,,,,264,,,,106
57,78B Mccourt Street,"$1,375,000",Sep 2020,House,3,2,2,306,,,,236
58,11B Joseph Street,"$760,000",Sep 2020,House,,,,380,,,,
59,21 Kimberley Street,"$768,000",Aug 2020,House,,,,354,,,,
60,42 Kimberley Street,"$1,085,000",Aug 2020,House,4,2,2,374,,,,
61,26/172 Railway Parade,"$475,000",Aug 2020,Apartment,,,,,,,,
62,2B Warwick Street,"$1,035,000",Aug 2020,House,3,2,2,231,Phillip Harvey,$925pw,Nov 2018,
63,19/110 Cambridge Street,"$540,000",Aug 2020,Apartment,,,,148,,,,
